DataID,Temperature1,Temperature2,Humidity1,Humidity2,LDR,Pump,Heater,Date,6:07:34 PM
88,42,39,61,103,168,ON,ON,10/12/2020,6:31:42 PM
89,47,38,28,111,857,OFF,ON,10/12/2020,6:31:42 PM
90,50,36,61,93,894,OFF,OFF,10/12/2020,6:31:42 PM
91,47,36,49,66,851,OFF,OFF,10/12/2020,6:31:42 PM
92,51,33,47,86,403,ON,ON,10/12/2020,6:31:42 PM
93,42,39,48,78,747,ON,ON,10/12/2020,6:31:42 PM
94,49,32,51,85,738,ON,OFF,10/12/2020,6:31:43 PM
95,50,42,38,75,672,ON,OFF,10/12/2020,6:31:43 PM
96,51,38,17,85,701,OFF,OFF,10/12/2020,6:31:43 PM
97,45,38,58,100,240,ON,ON,10/12/2020,6:31:43 PM
98,52,33,54,56,375,ON,ON,10/12/2020,6:31:43 PM
99,49,39,58,86,966,OFF,ON,10/12/2020,6:31:44 PM
100,49,41,59,89,839,OFF,ON,10/12/2020,6:31:44 PM
101,46,35,41,82,931,OFF,ON,10/12/2020,6:31:44 PM
102,44,36,71,92,976,ON,OFF,10/12/2020,6:31:44 PM
103,48,41,69,70,292,OFF,OFF,10/12/2020,6:31:45 PM
104,43,34,50,79,30,ON,OFF,10/12/2020,6:31:45 PM
105,45,33,57,76,965,ON,OFF,10/12/2020,6:31:45 PM
106,51,36,21,84,898,OFF,ON,10/12/2020,6:31:45 PM
107,48,32,44,106,377,OFF,OFF,10/12/2020,6:31:46 PM
108,46,42,58,60,930,ON,ON,10/12/2020,6:31:46 PM
109,48,32,32,102,376,OFF,OFF,10/12/2020,6:31:46 PM
110,42,34,57,78,723,ON,OFF,10/12/2020,6:31:46 PM
111,42,42,34,99,169,ON,OFF,10/12/2020,6:31:46 PM
112,48,33,63,87,240,OFF,ON,10/12/2020,6:31:47 PM
113,45,34,31,94,821,ON,ON,10/12/2020,6:31:47 PM
114,46,41,19,78,676,OFF,ON,10/12/2020,6:31:47 PM
115,44,35,37,56,661,OFF,ON,10/12/2020,6:31:47 PM
116,45,41,70,72,137,ON,OFF,10/12/2020,6:31:47 PM
117,42,36,22,104,684,ON,OFF,10/12/2020,6:31:47 PM
118,45,42,53,55,174,OFF,ON,10/12/2020,6:31:48 PM
119,42,33,46,95,699,ON,ON,10/12/2020,6:31:48 PM
120,44,33,22,63,412,OFF,OFF,10/12/2020,6:31:48 PM
121,46,36,66,72,240,OFF,OFF,10/12/2020,6:31:48 PM
122,45,33,53,112,928,OFF,ON,10/12/2020,6:31:49 PM
123,50,41,38,80,962,OFF,OFF,10/12/2020,6:31:49 PM
124,42,32,36,63,44,OFF,OFF,10/12/2020,6:31:49 PM
125,49,40,37,84,954,ON,OFF,10/12/2020,6:31:49 PM
126,51,39,51,77,92,OFF,ON,10/12/2020,6:31:49 PM
127,48,36,33,88,81,OFF,ON,10/12/2020,6:31:50 PM
128,49,40,38,81,120,OFF,ON,10/12/2020,6:31:50 PM
129,45,38,37,99,409,ON,ON,10/12/2020,6:31:50 PM
130,45,39,35,101,375,OFF,OFF,10/12/2020,6:31:50 PM
131,46,35,22,112,879,ON,ON,10/12/2020,6:31:51 PM
132,47,40,65,56,397,ON,OFF,10/12/2020,6:31:51 PM
133,50,41,71,73,408,ON,ON,10/12/2020,6:31:51 PM
134,42,41,19,92,692,ON,OFF,10/12/2020,6:31:51 PM
135,44,32,71,66,815,OFF,ON,10/12/2020,6:31:52 PM
136,50,37,26,78,614,ON,ON,10/12/2020,6:31:52 PM
137,43,37,36,106,632,ON,OFF,10/12/2020,6:31:52 PM
138,43,35,45,111,654,ON,OFF,10/12/2020,6:31:52 PM
139,51,32,36,111,370,ON,ON,10/12/2020,6:31:52 PM
140,51,42,26,67,759,OFF,ON,10/12/2020,6:31:52 PM
141,52,36,56,69,653,ON,OFF,10/12/2020,6:31:52 PM
142,50,35,51,83,273,ON,ON,10/12/2020,6:31:53 PM
143,44,32,56,79,237,OFF,ON,10/12/2020,6:31:53 PM
144,48,34,33,63,58,ON,OFF,10/12/2020,6:31:53 PM
145,46,32,48,75,923,ON,ON,10/12/2020,6:31:53 PM
146,42,35,68,103,972,ON,ON,10/12/2020,6:31:54 PM
147,49,35,64,70,96,OFF,ON,10/12/2020,6:31:54 PM
148,49,35,42,52,313,ON,ON,10/12/2020,6:31:54 PM
149,42,37,48,58,314,OFF,OFF,10/12/2020,6:31:54 PM
150,44,39,71,106,850,ON,OFF,10/12/2020,6:31:55 PM
151,45,42,34,104,406,OFF,ON,10/12/2020,6:31:55 PM
152,47,35,34,101,859,OFF,ON,10/12/2020,6:31:55 PM
153,45,34,52,103,638,ON,OFF,10/12/2020,6:31:55 PM
154,50,33,17,63,86,ON,OFF,10/12/2020,6:31:55 PM
155,51,37,61,59,187,OFF,ON,10/12/2020,6:31:56 PM
156,43,37,42,102,196,ON,ON,10/12/2020,6:31:56 PM
157,46,36,50,59,667,OFF,ON,10/12/2020,6:31:56 PM
158,47,41,51,55,958,OFF,ON,10/12/2020,6:31:56 PM
159,42,39,31,68,370,ON,OFF,10/12/2020,6:31:57 PM
160,51,41,60,78,313,ON,ON,10/12/2020,6:31:57 PM
161,42,40,43,83,735,OFF,ON,10/12/2020,6:31:57 PM
162,43,38,23,72,1004,ON,OFF,10/12/2020,6:31:57 PM
163,47,35,26,54,41,ON,OFF,10/12/2020,6:31:57 PM
164,48,40,71,91,41,OFF,OFF,10/12/2020,6:31:57 PM
165,50,36,28,59,57,ON,ON,10/12/2020,6:31:58 PM
166,42,34,70,62,173,ON,ON,10/12/2020,6:31:58 PM
167,48,41,57,88,308,ON,ON,10/12/2020,6:31:58 PM
168,42,42,41,60,322,ON,ON,10/12/2020,6:31:58 PM
169,45,36,35,73,395,OFF,ON,10/12/2020,6:31:58 PM
170,49,36,62,76,354,ON,OFF,10/12/2020,6:31:59 PM
171,46,36,23,81,998,OFF,ON,10/12/2020,6:31:59 PM
172,52,39,22,82,57,ON,ON,10/12/2020,6:31:59 PM
173,49,39,70,75,805,OFF,ON,10/12/2020,6:32:00 PM
174,45,37,53,69,724,ON,ON,10/12/2020,6:32:00 PM
175,45,36,65,104,219,OFF,ON,10/12/2020,6:32:00 PM
176,51,40,68,112,870,OFF,OFF,10/12/2020,6:32:00 PM
177,44,32,67,95,626,OFF,ON,10/12/2020,6:32:00 PM
178,43,33,50,106,893,OFF,ON,10/12/2020,6:32:01 PM
179,52,36,62,61,239,OFF,ON,10/12/2020,6:32:01 PM
180,50,37,36,87,61,ON,ON,10/12/2020,6:32:01 PM
181,42,36,58,88,101,ON,OFF,10/12/2020,6:32:01 PM
182,51,37,40,64,327,OFF,OFF,10/12/2020,6:32:01 PM
183,50,38,18,77,860,ON,OFF,10/12/2020,6:32:02 PM
184,46,42,61,89,384,ON,OFF,10/12/2020,6:32:02 PM
185,47,38,19,85,293,OFF,OFF,10/12/2020,6:32:02 PM
186,50,35,48,58,863,OFF,ON,10/12/2020,6:32:03 PM
187,42,38,35,88,753,OFF,OFF,10/12/2020,6:32:03 PM
188,44,35,32,82,85,ON,ON,10/12/2020,6:32:03 PM
189,43,38,37,90,347,ON,OFF,10/12/2020,6:32:03 PM
190,49,38,64,69,989,ON,OFF,10/12/2020,6:32:03 PM
191,52,35,18,61,403,OFF,ON,10/12/2020,6:32:03 PM
192,43,34,46,61,235,ON,ON,10/12/2020,6:32:03 PM
193,47,37,32,60,309,ON,OFF,10/12/2020,6:32:04 PM
194,50,42,31,102,25,ON,OFF,10/12/2020,6:32:04 PM
195,46,36,51,72,800,ON,ON,10/12/2020,6:32:04 PM
196,49,33,58,92,1004,ON,OFF,10/12/2020,6:32:04 PM
197,50,42,71,106,618,OFF,OFF,10/12/2020,6:32:04 PM
198,46,33,44,63,888,OFF,OFF,10/12/2020,6:32:05 PM
199,48,40,38,53,886,ON,OFF,10/12/2020,6:32:05 PM
200,48,42,34,84,98,ON,ON,10/12/2020,6:32:05 PM
201,44,42,46,92,828,OFF,OFF,10/12/2020,6:32:05 PM
202,43,39,47,102,221,OFF,ON,10/12/2020,6:32:06 PM
203,47,42,62,90,846,OFF,OFF,10/12/2020,6:32:06 PM
204,47,39,25,65,154,ON,ON,10/12/2020,6:32:06 PM
205,43,40,72,55,765,OFF,ON,10/12/2020,6:32:06 PM
206,49,37,52,58,146,OFF,OFF,10/12/2020,6:32:07 PM
207,44,33,69,94,702,OFF,OFF,10/12/2020,6:32:07 PM
208,51,33,19,72,898,OFF,OFF,10/12/2020,6:32:07 PM
209,48,40,53,78,683,OFF,OFF,10/12/2020,6:32:07 PM
210,51,39,34,103,867,OFF,ON,10/12/2020,6:32:07 PM
211,50,41,26,66,805,ON,ON,10/12/2020,6:32:07 PM
212,44,41,26,108,827,ON,ON,10/12/2020,6:32:08 PM
213,47,41,49,84,382,OFF,ON,10/12/2020,6:32:08 PM
214,43,37,30,67,264,OFF,OFF,10/12/2020,6:32:08 PM
215,52,32,72,112,842,OFF,OFF,10/12/2020,6:32:08 PM
216,43,38,33,105,870,OFF,ON,10/12/2020,6:32:09 PM
217,47,38,71,105,80,OFF,ON,10/12/2020,6:32:09 PM
218,52,41,34,106,947,ON,OFF,10/12/2020,6:32:09 PM
219,51,36,28,103,76,ON,ON,10/12/2020,6:32:09 PM
220,48,38,51,78,315,ON,ON,10/12/2020,6:32:09 PM
221,50,40,19,72,979,OFF,ON,10/12/2020,6:32:10 PM
222,48,36,38,91,347,ON,OFF,10/12/2020,6:32:10 PM
223,44,42,39,82,679,ON,ON,10/12/2020,6:32:10 PM
224,46,42,57,56,696,ON,ON,10/12/2020,6:32:10 PM
225,47,34,66,79,118,OFF,ON,10/12/2020,6:32:10 PM
226,43,42,63,64,52,ON,ON,10/12/2020,6:32:11 PM
227,48,35,44,58,57,OFF,OFF,10/12/2020,6:32:11 PM
228,44,42,70,57,185,ON,ON,10/12/2020,6:32:11 PM
229,46,36,18,111,116,ON,OFF,10/12/2020,6:32:11 PM
230,47,37,31,99,743,OFF,ON,10/12/2020,6:32:12 PM
231,42,37,44,56,749,OFF,ON,10/12/2020,6:32:12 PM
232,43,40,37,81,759,OFF,OFF,10/12/2020,6:32:12 PM
233,49,41,25,69,625,OFF,OFF,10/12/2020,6:32:12 PM
234,45,32,31,94,68,OFF,ON,10/12/2020,6:32:12 PM
235,44,33,40,83,402,ON,ON,10/12/2020,6:32:12 PM
236,43,36,36,84,299,OFF,ON,10/12/2020,6:32:13 PM
237,42,35,37,60,722,ON,ON,10/12/2020,6:32:13 PM
238,50,36,34,58,935,OFF,ON,10/12/2020,6:32:13 PM
239,48,38,69,92,748,OFF,ON,10/12/2020,6:32:14 PM
240,45,38,33,100,768,OFF,OFF,10/12/2020,6:32:14 PM
241,51,34,55,63,392,ON,OFF,10/12/2020,6:32:14 PM
242,51,33,26,68,300,ON,ON,10/12/2020,6:32:16 PM
243,50,33,26,76,77,OFF,ON,10/12/2020,6:32:16 PM
244,49,40,19,107,666,ON,ON,10/12/2020,6:32:16 PM
245,49,35,50,73,124,ON,OFF,10/12/2020,6:32:16 PM
246,44,37,57,59,308,ON,OFF,10/12/2020,6:32:16 PM
247,43,39,46,87,295,OFF,OFF,10/12/2020,6:32:16 PM
248,47,38,43,95,640,OFF,OFF,10/12/2020,6:32:17 PM
249,42,41,64,96,159,OFF,OFF,10/12/2020,6:32:17 PM
250,49,42,48,110,721,ON,ON,10/12/2020,6:32:17 PM
251,48,39,20,97,163,OFF,ON,10/12/2020,6:32:17 PM
252,52,39,66,67,39,OFF,ON,10/12/2020,6:32:17 PM
253,47,38,61,55,803,ON,OFF,10/12/2020,6:32:17 PM
254,49,33,40,103,770,ON,ON,10/12/2020,6:32:17 PM
255,43,36,19,91,90,ON,OFF,10/12/2020,6:32:17 PM
256,52,36,25,69,312,ON,ON,10/12/2020,6:32:17 PM
257,51,39,30,71,867,OFF,OFF,10/12/2020,6:32:17 PM
258,46,37,34,74,796,OFF,ON,10/12/2020,6:32:18 PM
259,50,39,68,91,968,ON,ON,10/12/2020,6:32:18 PM
260,47,35,41,59,886,ON,OFF,10/12/2020,6:32:18 PM
261,52,35,62,84,224,ON,ON,10/12/2020,6:32:18 PM
262,46,38,43,67,259,ON,OFF,10/12/2020,6:32:18 PM
263,44,32,55,85,871,ON,OFF,10/12/2020,6:32:18 PM
264,50,34,71,106,745,OFF,ON,10/12/2020,6:32:19 PM
265,43,32,54,96,665,OFF,OFF,10/12/2020,6:32:19 PM
266,50,40,31,74,851,ON,OFF,10/12/2020,6:32:19 PM
267,51,32,19,98,81,OFF,ON,10/12/2020,6:32:20 PM
268,52,37,51,53,911,ON,OFF,10/12/2020,6:32:20 PM
269,45,32,20,109,636,OFF,OFF,10/12/2020,6:32:20 PM
270,44,35,39,81,698,OFF,ON,10/12/2020,6:32:20 PM
271,51,42,24,98,783,ON,OFF,10/12/2020,6:32:20 PM
272,51,34,42,68,921,ON,ON,10/12/2020,6:32:20 PM
273,48,40,54,57,819,ON,OFF,10/12/2020,6:32:21 PM
274,48,39,33,111,890,OFF,ON,10/12/2020,6:32:21 PM
275,49,33,31,90,852,OFF,ON,10/12/2020,6:32:21 PM
276,52,37,50,77,406,ON,ON,10/12/2020,6:32:21 PM
277,48,39,51,79,262,OFF,OFF,10/12/2020,6:32:22 PM
278,46,33,19,75,171,ON,ON,10/12/2020,6:32:22 PM
279,44,42,45,103,251,ON,ON,10/12/2020,6:32:22 PM
280,46,34,53,72,378,OFF,OFF,10/12/2020,6:32:22 PM
281,43,41,55,68,119,ON,ON,10/12/2020,6:32:22 PM
282,44,34,26,111,156,OFF,ON,10/12/2020,6:32:22 PM
283,46,42,23,91,945,OFF,OFF,10/12/2020,6:32:22 PM
284,52,38,23,78,82,ON,ON,10/12/2020,6:32:23 PM
285,48,38,36,73,381,ON,OFF,10/12/2020,6:32:23 PM
286,47,32,39,109,409,ON,OFF,10/12/2020,6:32:23 PM
287,50,40,58,83,705,ON,OFF,10/12/2020,6:32:23 PM
288,47,36,44,60,177,ON,OFF,10/12/2020,6:32:24 PM
289,48,38,31,93,383,ON,ON,10/12/2020,6:32:24 PM
290,45,38,31,107,675,OFF,ON,10/12/2020,6:32:24 PM
291,44,39,71,81,266,OFF,OFF,10/12/2020,6:32:24 PM
292,50,42,68,56,672,OFF,ON,10/12/2020,6:32:25 PM
293,47,42,21,74,806,OFF,OFF,10/12/2020,6:32:25 PM
294,51,40,56,87,642,ON,ON,10/12/2020,6:32:25 PM
295,42,42,51,57,98,ON,ON,10/12/2020,6:32:25 PM
296,44,38,35,80,633,ON,OFF,10/12/2020,6:32:25 PM
297,43,37,19,53,808,OFF,ON,10/12/2020,6:32:26 PM
298,42,39,60,86,177,OFF,OFF,10/12/2020,6:32:26 PM
299,44,34,61,79,997,OFF,ON,10/12/2020,6:32:26 PM
300,51,32,60,86,384,ON,ON,10/12/2020,6:32:27 PM
301,44,40,58,92,406,OFF,OFF,10/12/2020,6:32:27 PM
302,51,41,63,70,251,ON,ON,10/12/2020,6:32:27 PM
303,46,32,55,53,655,OFF,OFF,10/12/2020,6:32:27 PM
304,52,40,20,64,29,OFF,ON,10/12/2020,6:32:28 PM
305,46,42,46,64,940,ON,ON,10/12/2020,6:32:28 PM
306,42,42,32,80,160,ON,OFF,10/12/2020,6:32:28 PM
307,45,33,68,105,162,OFF,ON,10/12/2020,6:32:28 PM
308,51,32,67,86,146,ON,ON,10/12/2020,6:32:28 PM
309,49,32,37,61,160,OFF,ON,10/12/2020,6:32:28 PM
310,52,33,54,81,864,OFF,OFF,10/12/2020,6:32:28 PM
311,46,41,19,55,25,ON,ON,10/12/2020,6:32:28 PM
312,47,41,43,60,342,OFF,OFF,10/12/2020,6:32:29 PM
313,51,38,34,110,39,OFF,ON,10/12/2020,6:32:29 PM
314,43,34,34,110,235,ON,OFF,10/12/2020,6:32:29 PM
315,49,39,35,83,641,ON,ON,10/12/2020,6:32:29 PM
316,48,35,44,89,825,ON,ON,10/12/2020,6:32:30 PM
317,49,35,52,90,381,OFF,OFF,10/12/2020,6:32:30 PM
318,43,38,60,73,751,ON,ON,10/12/2020,6:32:30 PM
319,45,39,40,55,301,ON,OFF,10/12/2020,6:32:30 PM
320,46,33,19,68,901,ON,ON,10/12/2020,6:32:31 PM
321,52,39,42,93,255,OFF,ON,10/12/2020,6:32:31 PM
322,50,38,54,80,856,OFF,OFF,10/12/2020,6:32:31 PM
323,50,41,37,52,889,ON,OFF,10/12/2020,6:32:31 PM
324,43,37,55,110,932,ON,ON,10/12/2020,6:32:31 PM
325,46,32,19,101,970,OFF,OFF,10/12/2020,6:32:32 PM
326,47,38,33,69,617,OFF,ON,10/12/2020,6:32:32 PM
327,48,41,71,59,940,OFF,ON,10/12/2020,6:32:32 PM
328,43,35,55,107,631,ON,OFF,10/12/2020,6:32:32 PM
329,46,39,57,97,757,OFF,ON,10/12/2020,6:32:32 PM
330,44,32,64,109,60,ON,OFF,10/12/2020,6:32:32 PM
331,44,39,49,57,666,ON,OFF,10/12/2020,6:32:33 PM
332,49,41,46,65,368,OFF,OFF,10/12/2020,6:32:33 PM
333,45,38,19,96,717,ON,ON,10/12/2020,6:32:33 PM
334,51,42,28,92,825,OFF,OFF,10/12/2020,6:32:33 PM
335,48,42,36,111,170,ON,OFF,10/12/2020,6:32:34 PM
336,51,41,21,82,76,ON,ON,10/12/2020,6:32:34 PM
337,48,37,55,102,881,OFF,OFF,10/12/2020,6:32:34 PM
338,46,42,56,64,756,ON,OFF,10/12/2020,6:32:34 PM
339,52,34,25,110,238,ON,OFF,10/12/2020,6:32:35 PM
340,43,37,55,86,754,OFF,OFF,10/12/2020,6:32:35 PM
341,44,32,55,87,28,ON,OFF,10/12/2020,6:32:36 PM
342,45,35,21,110,122,ON,OFF,10/12/2020,6:32:36 PM
343,45,35,47,71,323,OFF,OFF,10/12/2020,6:32:36 PM
344,51,38,58,101,820,OFF,OFF,10/12/2020,6:32:36 PM
345,48,33,28,66,785,ON,ON,10/12/2020,6:32:36 PM
346,43,32,33,89,979,ON,OFF,10/12/2020,6:32:36 PM
347,47,36,26,60,147,ON,ON,10/12/2020,6:32:36 PM
348,43,34,35,69,995,OFF,OFF,10/12/2020,6:32:37 PM
349,49,34,18,73,258,OFF,OFF,10/12/2020,6:32:37 PM
350,42,35,30,98,410,OFF,ON,10/12/2020,6:32:37 PM
351,44,42,26,98,118,OFF,OFF,10/12/2020,6:32:37 PM
352,51,40,23,80,404,ON,ON,10/12/2020,6:32:37 PM
353,48,35,70,80,395,ON,ON,10/12/2020,6:32:37 PM
354,45,36,71,64,216,ON,OFF,10/12/2020,6:32:37 PM
355,50,33,19,68,65,OFF,OFF,10/12/2020,6:32:38 PM
356,46,32,56,65,289,OFF,ON,10/12/2020,6:32:38 PM
357,46,36,49,85,44,ON,OFF,10/12/2020,6:32:38 PM
358,49,32,19,85,319,ON,OFF,10/12/2020,6:32:38 PM
359,47,35,17,65,24,OFF,OFF,10/12/2020,6:32:39 PM
360,43,41,34,76,871,OFF,ON,10/12/2020,6:32:39 PM
361,47,35,24,78,983,ON,OFF,10/12/2020,6:32:39 PM
362,46,35,56,101,804,OFF,OFF,10/12/2020,6:32:39 PM
363,51,40,32,67,163,OFF,ON,10/12/2020,6:32:40 PM
364,45,33,43,88,644,ON,ON,10/12/2020,6:32:40 PM
365,45,42,72,73,148,ON,OFF,10/12/2020,6:32:40 PM
366,43,34,37,64,741,ON,ON,10/12/2020,6:32:40 PM
367,51,42,51,74,743,OFF,OFF,10/12/2020,6:32:40 PM
368,51,41,37,63,953,ON,OFF,10/12/2020,6:32:41 PM
369,42,32,34,100,310,OFF,OFF,10/12/2020,6:32:42 PM
370,50,37,70,97,221,OFF,OFF,10/12/2020,6:32:42 PM
371,47,34,34,85,355,ON,OFF,10/12/2020,6:32:42 PM
372,50,33,49,110,251,ON,OFF,10/12/2020,6:32:42 PM
373,47,41,66,99,209,OFF,OFF,10/12/2020,6:32:42 PM
374,48,36,30,81,918,ON,ON,10/12/2020,6:32:42 PM
375,49,38,40,88,730,ON,ON,10/12/2020,6:32:43 PM
376,43,38,67,96,391,ON,OFF,10/12/2020,6:32:43 PM
377,47,36,43,88,228,ON,ON,10/12/2020,6:32:43 PM
378,52,33,61,104,980,ON,ON,10/12/2020,6:32:43 PM
379,42,38,50,110,914,OFF,ON,10/12/2020,6:32:43 PM
380,47,37,49,57,761,OFF,ON,10/12/2020,6:32:43 PM
381,50,40,45,66,619,ON,OFF,10/12/2020,6:32:43 PM
382,44,38,31,73,751,OFF,OFF,10/12/2020,6:32:43 PM
383,46,40,58,100,151,ON,OFF,10/12/2020,6:32:44 PM
384,51,35,34,68,109,ON,OFF,10/12/2020,6:32:44 PM
385,45,38,30,53,211,ON,ON,10/12/2020,6:32:44 PM
386,51,34,63,78,966,ON,OFF,10/12/2020,6:32:45 PM
387,45,40,34,58,788,ON,ON,10/12/2020,6:32:45 PM
388,44,38,69,73,52,OFF,ON,10/12/2020,6:32:45 PM
389,52,37,33,77,995,ON,ON,10/12/2020,6:32:45 PM
390,52,33,43,76,913,ON,ON,10/12/2020,6:32:45 PM
391,52,37,65,83,332,OFF,ON,10/12/2020,6:32:46 PM
392,51,33,28,112,728,ON,OFF,10/12/2020,6:32:46 PM
393,47,41,63,71,149,OFF,ON,10/12/2020,6:32:46 PM
394,50,34,26,55,621,ON,ON,10/12/2020,6:32:46 PM
395,47,38,33,88,910,OFF,OFF,10/12/2020,6:32:46 PM
396,45,41,36,70,679,ON,ON,10/12/2020,6:32:47 PM
397,42,37,58,55,258,OFF,ON,10/12/2020,6:32:47 PM
398,42,33,21,56,724,OFF,ON,10/12/2020,6:32:47 PM
399,43,41,38,91,736,ON,ON,10/12/2020,6:32:47 PM
400,42,38,19,111,395,OFF,ON,10/12/2020,6:32:47 PM
401,47,37,68,74,895,ON,OFF,10/12/2020,6:32:47 PM
402,43,37,48,108,217,ON,ON,10/12/2020,6:32:48 PM
403,42,42,60,73,277,ON,ON,10/12/2020,6:32:48 PM
404,48,41,63,53,700,OFF,ON,10/12/2020,6:32:48 PM
405,49,40,32,92,225,ON,ON,10/12/2020,6:32:49 PM
406,47,40,20,97,339,ON,OFF,10/12/2020,6:32:49 PM
407,50,32,27,85,372,ON,OFF,10/12/2020,6:32:49 PM
408,48,33,33,81,349,OFF,ON,10/12/2020,6:32:49 PM
409,44,35,28,101,702,OFF,ON,10/12/2020,6:32:49 PM
